Nro_segmento,Ruta,Size,Original_Mean,Pix_min,Pix_max,PixelNum Mask,Mean,Median,Minimum,Maximum,Variance,Skewness,Kurtosis,Energy,Entropy,IDM,Contrast,Correlation,Type
1,out/LabelMapVolume_all_out.nrrd,"(512, 512, 1)",174.1023865,0,1285,27566,133.5194442,128,16,270,941.9790712,0.515040877,3.111884312,0.131673243,3.548774167,0.836356741,0.376333239,0.8799196,Grasa
2,out/2LabelMapVolume_all_out.nrrd,"(256, 256, 1)",158.2959137,0,1914,5995,137.7262719,127,29,420,1669.090544,1.96211091,8.6064971,0.133107567,3.836615151,0.792207342,0.612426709,0.882379492,Grasa
3,out/3LabelMapVolume_all_out.nrrd,"(512, 512, 1)",133.6369743,0,1054,27882,200.5484183,197,46,333,1616.504094,0.290518989,2.798886438,0.092494382,3.934420655,0.839794894,0.333272935,0.936599507,Normal
4,out/4LabelMapVolume_all_out.nrrd,"(512, 512, 1)",146.0506325,0,1158,30151,157.9657059,151,17,463,6325.924664,0.532046925,2.824681641,0.039489021,5.274244603,0.774270929,0.735713606,0.963846849,Grasa
5,out/5LabelMapVolume_all_out.nrrd,"(512, 512, 1)",147.3516769,0,1632,28063,296.8172683,296,88,539,4587.509138,0.057010123,2.781313111,0.049089737,4.895426449,0.807573905,0.45261822,0.96907428,Normal
6,out/6LabelMapVolume_all_out.nrrd,"(256, 256, 1)",160.7776489,0,1493,8052,232.7718579,222,78,445,2635.853192,0.811978948,3.545447211,0.048567652,4.894348557,0.684834274,0.981759252,0.881937998,Grasa
7,out/7LabelMapVolume_all_out.nrrd,"(512, 512, 1)",117.0761108,0,860,31395,270.1024367,254,44,823,5078.473151,1.30608979,6.618423648,0.043579879,5.201622746,0.720908318,0.914530208,0.944069201,Normal
8,out/8LabelMapVolume_all_out.nrrd,"(256, 256, 1)",96.57841492,0,1017,11595,100.3967227,89,2,271,1737.175254,1.065129531,3.898833177,0.107852306,3.969707343,0.819736444,0.478634229,0.914598231,Normal
9,out/9LabelMapVolume_all_out.nrrd,"(512, 512, 1)",97.69027328,0,1711,28785,131.0449192,122,6,371,3225.927633,0.565150314,3.914094765,0.092239231,4.340650288,0.838695535,0.449604982,0.957050032,Grasa
10,out/10LabelMapVolume_all_out.nrrd,"(512, 512, 1)",88.09988785,0,1055,35597,126.8278507,120,36,247,837.3513237,0.634154448,2.913021641,0.164437004,3.238927949,0.872396288,0.26355207,0.906578046,Normal
11,out/11LabelMapVolume_all_out.nrrd,"(512, 512, 1)",78.86687088,0,1349,30319,113.7949471,108,2,295,950.5919122,0.768382184,4.859841305,0.157731895,3.362285149,0.868096857,0.291170265,0.907634925,Normal
12,out/12LabelMapVolume_all_out.nrrd,"(512, 512, 1)",180.3893356,0,1733,25484,207.9385889,205,65,373,1818.116893,0.252774284,3.411297611,0.094245171,4.034969285,0.842052245,0.335819821,0.943495666,Normal
13,out/13LabelMapVolume_all_out.nrrd,"(512, 512, 1)",225.0216103,0,2905,32006,225.1601887,221,61,490,3110.721418,0.328008844,3.524634774,0.060560699,4.610774308,0.796718581,0.447156766,0.95514027,Normal
14,out/14LabelMapVolume_seg_all.nrrd,"(512, 512, 1)",123.2140388,0,1117,29342,147.0283212,138,28,301,1827.587331,0.732013812,3.851325131,0.125623612,3.713884169,0.881027672,0.241745099,0.959511244,Normal
15,out/15LabelMapVolume_all_out.nrrd,"(256, 256, 1)",88.64141846,0,962,8385,178.5289207,177,43,313,2259.568424,0.052736793,2.770607686,0.066172955,4.436892481,0.793278751,0.496555977,0.931636415,Grasa
16,out/16LabelMapVolume_all_out.nrrd,"(256, 256, 1)",128.0128784,0,1303,12782,275.7482397,243,69,743,10113.00312,1.379704971,4.960742653,0.031783026,5.788767512,0.661309523,1.204281323,0.962164046,Normal
17,out/17LabelMapVolume_all_out.nrrd,"(512, 512, 1)",154.5325737,0,1213,47027,302.339422,299,23,642,10973.03605,0.042222236,3.122563129,0.02844541,5.904219318,0.72880229,1.015782179,0.970887762,Normal
18,out/18LabelMapVolume_all_out.nrrd,"(512, 320, 1)",133.4695618,0,557,33037,189.0020583,188,21,288,635.9927312,-0.517640343,6.089206105,0.231760328,2.927290203,0.887217236,0.233336849,0.890493816,Normal
19,out/19LabelMapVolume_all_out.nrrd,"(256, 256, 1)",97.69776917,0,1061,6732,188.35918,178,46,416,3381.678179,1.027357902,4.18067507,0.057035699,4.834394997,0.738052561,0.728022869,0.93224551,Normal
20,out/20LabelMapVolume_all_out.nrrd,"(512, 512, 1)",235.2506371,0,2589,25350,532.9029191,541,24,1355,10947.16663,0.479701932,13.59664133,0.035126823,5.857781798,0.645029686,2.326618831,0.932124478,Grasa
21,out/21LabelMapVolume_all_out.nrrd,"(640, 520, 1)",81.37288161,0,433,54784,87.63312281,86,11,173,320.7712313,0.152964723,4.198909026,0.311962912,2.403290867,0.913482376,0.174332056,0.850303326,Grasa
22,out/22LabelMapVolume_all_out.nrrd,"(512, 320, 1)",129.6444275,0,592,41048,204.3042779,217,30,285,1953.137292,-0.498748181,1.991872934,0.125457486,3.468458556,0.904968962,0.197411302,0.968976084,Normal
23,out/23LabelMapVolume_all_out.nrrd,"(480, 480, 1)",304.0746611,0,2082.821978,23020,510.2322871,520.7054945,32.95604396,850.2659341,8672.895048,-0.623031508,3.819576354,0.010046879,7.346203933,0.361588225,10.03666671,0.637867498,Grasa
24,out/24LabelMapVolume_all_out.nrrd,"(640, 540, 1)",150.1842188,0,603,68493,154.0665177,154,24,249,745.4085957,-0.26022741,3.239384757,0.153999888,3.220099602,0.876297765,0.251180491,0.900687371,Grasa
25,out/25LabelMapVolume_all_out.nrrd,"(640, 520, 1)",134.7440685,0,486,54554,152.9625509,153,29,228,429.2652508,-0.37303709,4.170535388,0.237322629,2.615420086,0.911866967,0.177654396,0.882318968,Normal
26,out/26LabelMapVolume_all_out.nrrd,"(640, 440, 1)",89.87474432,0,431,41234,228.7094631,236,40,309,1517.459702,-0.957269431,3.628698734,0.13887641,3.471039805,0.898230953,0.211060745,0.958434218,Normal
